Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿Tenes algun comentario o sugerencia sobre la cursada virtual de este cuatrimestre?
8/26/2020 19:18:24,Simulacion - Caiafa,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Buenas,Facil,Facil,,
8/26/2020 19:26:13,Organizacion del Computador - Moreno,Bueno,Si,Muy Interesantes,Si,Regulares,Muy Buenas,Dificil,Normal,"Buen curso, muy buenos contenidos y los profesores explican bien dichos temas.",Al ser un cuatrimestre a distancia se complico bastante el hecho de las clases teoricas por problemas de conexion del profesor. Pero mas alla de eso siempre se entendio todo lo que explicaba en las distintas clases. Recomendaria que suba los videos de la teorica un dia antes del dia de la clase de consulta.
8/26/2020 19:31:12,Simulacion - Caiafa,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Facil,"Los temas de la materia son muy interesantes, es una de las mejores optativas que hay dando vueltas. No tengo queja alguna con el desempeño de los docentes, las clases, tanto teoricas como practicas, estan muy bien dadas.
Es una de las materias que mejor se adapto a la cursada virtual, hicieron un gran trabajo en ese marco.
Totalmente recomendable cursarla.",
8/26/2020 19:36:37,Simulacion - Caiafa,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,"Es muy recomandable, los temas son interesantes y la cursada no es muy pesada.",En general la modalidad es muy comoda del lado del estudiante mas que nada por permitir ahorrarse la movilidad de ir hasta el centro. Los temas de esta materia en particular se pueden dar comodamente de forma virtual tanto la practica como la teorica.
8/26/2020 19:45:41,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Dificil,Normal,,Se adaptaron estupendamente
8/26/2020 19:49:45,Algoritmos y Programacion I (Electronica) - Essaya,Malo,No,Poco Interesantes,Si,Regulares,Muy Buenas,Dificil,Muy dificil,,Demasiados ejercicios obligatorios
8/26/2020 20:01:54,Analisis Numerico I/Metodos Matematicos y Numericos - Tarela,Regular,Si,Interesantes,Si,Muy Buenas,Malas,Dificil,Muy dificil,"Sinceramente de Tarela no puedo decir nada, muy buen profesor. Pero la practica deja MUCHISIMO que desear. El TP2 fue imposible de hacer y encima no fueron claros a la hora de responder las consultas en el campus (y tardaban mucho en contestar). Me senti a la deriva, senti que ni ellos tenian en claro como resolver lo que nos asignaron.  No nos hicieron correcciones individuales y nos mandaron a re-entregar con una semana de margen, les pedimos si podian subir un apunte para que nos guie en la resolucion de uno de los 22 puntos del TP y dijeron que no llegaban. ¿Si ellos no llegan, como esperan que nosotros ALUMNOS en proceso de aprendizaje si?","Que sean mas atentos al campus porque es la unica manera que tenemos los estudiantes de resolver nuestras dudas. Ya demasiado dificil es tener que cursar virtual como para que encima agreguen nuevas dificultades: El segundo trabajo practico que nos asignaron no tiene comparacion respecto a cuatrimestres anteriores, muy largo y complicado y encima de un tema muy sensible actualmente(Modelar el desarrollo del Covid-19 en distintos paises)."
8/26/2020 20:06:42,Simulacion - Caiafa,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,,
8/26/2020 20:11:42,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Interesantes,Si,Muy Buenas,No Hay Clases Practicas,Facil,Normal,Muy bueno! Aprendi un monton,"La verdad que muy bien organizado, los felicito, muy dispuestos a todo"
8/26/2020 20:12:22,Algoritmos y Programacion I (Electronica) - Essaya,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Dificil,,
8/26/2020 20:13:13,Organizacion del Computador - Moreno,Regular,Si,Interesantes,Si,Malas,Buenas,Dificil,Dificil,"Mas alla de que la calidad de las teoricas en vivo se vio afectada por problemas de conexion, encontre los videos menos que suficientes para aprobar el curso, viendome obligado a cambiar la teorica por leer directamente el libro. Agregar un tp la ultima semana de clase, que nisiquiera compilaba, me parece un abuso y falta de respeto al alumnado. No solo el tp no compilaba como se nos fue dado sino que no era suficiente para probar funcionalidades que se pedia implementar.",
8/26/2020 20:14:25,Analisis Numerico I/Metodos Matematicos y Numericos - Schwarz,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,"Los profesores (profesor, jefes de tps, ayudantes, colaboradores, es decir todos) se mostraron muy comprometidos con el curso. Se preocuparon en organizar clases de consultas, subir videos teoricos y practicos, y responder dudas en cualquier horario. Se nota que tienen bien entendidos los temas de la materia. Ademas, enseñaron varios temas de programacion, sobre todo POO, que me resultaron muy utiles para una correcta realizacion de los trabajos practicos de mi grupo.","Todos los trabajos practicos se realizaron programando. Quizas un plus podria ser entregar algunos ejercicios de la guia, o no, hechos a mano. De todas formas esto es algo que cualquier estudiante debe hacer por su cuenta, es solo una sugerencia (o pedir esto para el parcial, sumado al choice)."
8/26/2020 20:14:32,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Normal,,Muy conforme con la modalidad utilizada y los canales de comunicacion
8/26/2020 20:14:32,Analisis Numerico I/Metodos Matematicos y Numericos - Schwarz,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,"Los profesores (profesor, jefes de tps, ayudantes, colaboradores, es decir todos) se mostraron muy comprometidos con el curso. Se preocuparon en organizar clases de consultas, subir videos teoricos y practicos, y responder dudas en cualquier horario. Se nota que tienen bien entendidos los temas de la materia. Ademas, enseñaron varios temas de programacion, sobre todo POO, que me resultaron muy utiles para una correcta realizacion de los trabajos practicos de mi grupo.","Todos los trabajos practicos se realizaron programando. Quizas un plus podria ser entregar algunos ejercicios de la guia, o no, hechos a mano. De todas formas esto es algo que cualquier estudiante debe hacer por su cuenta, es solo una sugerencia (o pedir esto para el parcial, sumado al choice)."
8/26/2020 20:14:39,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Normal,Muy interesante tener una vision general de varios lenguajes de programacion ,Muy conforme con el cuatrimestre
8/26/2020 20:16:12,Analisis Numerico I/Metodos Matematicos y Numericos - Tarela,Malo,Si,Interesantes,Si,Buenas,Malas,Normal,Muy dificil,la teorica barbara la practica completamente irresponsable vaga y sin interes de ayudar o explicar los temas que exigen despues para evaluar. ,
8/26/2020 20:17:30,Analisis Numerico I/Metodos Matematicos y Numericos - Tarela,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Muy dificil,"Me gusto la materia y me gusto que los TPs fueran dificiles. En cierto modo me hubiera gustado que nos orientaran mas, pero tambien me gusta el hecho de habermela pegado fuerte contra la pared por primera vez. De hecho yo me inscribi en este curso porque habia leido que hacian TPs bastante exigentes.

Las teoricas me parecieron muy interesantes y muy organizadas. Lo mismo para las practicas. Hubo siempre mucho material a disposicion el cual me fue de mucha ayuda.","Mi mayor critica es que no le conoci la cara a NINGUNO  de los docentes. Para mi esto fue muy malo. Practicamente no hubo contacto con los docentes y eso dificulto mucho el aprendizaje a mi criterio. Ni foto de perfil tenian en la cuenta de google. Obviamente esto es reciproco, porque ellos tampoco conocieron la mia. Yo propondria prender la camara el cuatrimestre que viene."
8/26/2020 20:18:49,Algoritmos y Programacion II - Juarez,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Normal,Dificil,,
8/26/2020 20:19:08,Algoritmos y Programacion II - Mendez,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,"Excelente catedra la combinacion de la teorica de Mendez y la practica de Manu/Lucas hacen que las clases sean muy dinamicas, divertidas y faciles de entender",Se supieron adaptar perfectamente al formato virtual. Perfecta cursada
8/26/2020 20:20:15,Algoritmos y Programacion II - Mendez,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Normal,Dificil,Es un muy buen curso. Los profesores no tienen problema en explicar cuantas veces sean necesarias hasta que entiendas. Las clases son entretenidas y los tps te ayudan a estar al dia con la materia ,Se pudieron adoptar super bien y que las clases queden grabadas ayudo mucho.
8/26/2020 20:20:46,Organizacion del Computador - Moreno,Muy Bueno,Si,Muy Interesantes,Si,Buenas,Muy Buenas,Normal,Normal,Temario actualizado e interesante. Los profes muy atentos.,"Dejar el material disponible en la pagina de la materia, para poder organizarse mejor"
8/26/2020 20:21:19,Analisis Numerico I/Metodos Matematicos y Numericos - Tarela,Regular,Si,Interesantes,Si,Buenas,Regulares,Normal,Muy dificil,,El 2do TP fue poco explicado y de un nivel que no coincidia con lo dado en las clases practicas. Poca atencion al campus en comparacion con las exigencias que se piden en el TP.
8/26/2020 20:21:25,Algoritmos y Programacion I - Mendez,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Dificil,Da mucha felicidad ser educados por semejantes profesores. Hacen absolutamente todo bien y se nota mucho el esfuerzo que le temen.,No
8/26/2020 20:22:00,Algoritmos y Programacion I - Mendez,Excelente,Si,Interesantes,Si,Excelentes,Excelentes,Normal,Dificil,"El formato de las clases, la pagina de la catedra y la forma de evaluar son excelentes",
8/26/2020 20:22:10,Computacion - Cabrera,Regular,Si,Interesantes,Si,Malas,Buenas,Normal,Normal,"Me hubiese gustado que se defina como iba a ser la nota desde un principio, pues nunca se supo como iba a estar determinada la nota final. Las clases de python son muy buenas mientras que las clases teoricas dejan mucho que desear. ","Ser mas claros en cuanto a las reglas desde un principio, mejorar la manera en la que se dan las clases teoricas y estar mas atentos a consultas. "
